t_no	t_name	g_no	t_explan	t_personnel	t_time
1	404호 살인사건	1	당신은 머리가 깨질듯한 두통과 함께 난생 처음 보는 이상한 방에서 깨어났다. 당신에게 주어진 건 60분. 과연 당신은 무죄를 입증할 증거를 찾아 탈출할 수 있을 것인가..	2	110
2	각성	2	스산한 새벽, 납치범들의 감시가 소홀한 틈을 타 탈출 무기를 완성해야 한다. 주어진 시간은 1시간, 무기를 완성할 수 있을까?	3	120
3	감옥탈출	2	오늘, 바로 오늘 나는 탈출할 것이다. 그리고 내 결백함을 증명해서 모든 것을 바로잡을 것이다.	2	90
4	개인병원의 비밀	1	이곳에서 하룻밤을 보내기로 하고 이리저리 병원 내부를 둘러보는 미스터M. 그러던 중 원장실을 발견하고 잠자리에 들기 위해 들어서는 순간, 문이 굳게 닫혀 버렸다.	1	100
5	꿈의 공장	1	당신도 꿈이 필요하신가요? 그렇다면 당신의 이야기를 꿈의 공장으로 보내주세요!	2	90
6	나홀로학교에	2	느낌을 따라 가다가 어느 교실에 갇히게 되고 충격적인 사실과 마주하게 되는데 살기위해선 이곳을 벗어나야 한다!!!	3	110
7	도둑들	3	당신은 이곳을 털기위해 천재해커 빌리와 손을 잡게 되고 빌리가 한시간동안 경비 시스템을 마비 시킬 수 있다는데..자 주어진 시간은 한시간! 미술관을 털어라!	3	100
8	디어 마르시	3	밤하늘, 나를 향해 가장 푸르게 빛나는 저 별, 나는 그에게 "에덴" 이라는 이름을 붙여주었다.	6	90
9	딜리버	3	우연히 친구로부터 소개받은 단순한 배달직업, 약속된 장소는 폐물류창고. 지정된 사무실에 들어선 순간 코를 찌르는 듯한 악취와 끔찍한 광경이 펼쳐진다.	4	70
10	락커룸	2	한 시간 안에 탈출하지 못한다면 원정경기장으로 떠나는 비행기를 타지 못할 것이며, 마지막 경기에도 출전하지 못할 것이다.	2	70
11	레드 크리스마스 	2	뭔가 이상한 산타의 집. 미친 산타가 아이들을 더 이상 해치지 못하게 막아야 한다.	6	70
12	마법사의 세계	4	당신은 스승님들의 복수를 위해 암흑 마법사를 찾아 나서고 암흑 마법사의 연구실을 발견하게 되는데. 암흑마법사의 계획을 저지하고 스승님들의 복수를 해야한다!!	6	100
13	무채색 인간	5	가까스로 모교를 빠져나오는 한경준. 조금씩 떠오르는 먼 과거의 기억들로 머리가 복잡해져 오던 중, 정문 앞에 수상하게 떨어져있는 일기장 하나를 발견하게 된다.	2	100
14	백조의 호수	3	어느날 개인 연습실에서 연습을 하던 도중 발레리나가 실종이 된다.실종신고를 접한 경찰은 다각도로 수사를 하지만 찾지 못한다. 그런데 어느날부터 연습실에서 이상한 음악소리가 들린다…	6	100
15	분노의 살인	1	숨바꼭질 중 술래가 된 파커만 남겨둔 채 모두들 집으로 돌아가는데... 분노한 파커는 20년 동안 자신을 따돌린 한명한명 찾아가기 시작한다. 그중에 한명인 당신! 파커의 손에서 벗어나야 한다!	5	80
16	빛과 그림자	2	전세계를 슬프게 만든 화이트의 죽음, 그 뒤로 블랙의 소식도 사라지게 되고.당신은 왠지 이 사건이 화이트의 죽음과 무관하지 않을 거란 생각이 들어, 화이트의 방을 다시 조사하기 시작한다.	3	80
17	사라진 다이아몬드	1	설록호텔의 귀중품 대형 다이아몬드 ‘가이아의축복’이 사라졌다. 호텔내부 사람 말고는 출입을 못하는 곳인데.. 과연, 누가 이곳에서 범행을 저질렀을까?	1	120
18	스토커	2	당신의 여자친구가 실종된다. 셜록홈즈 탐정소의 도움을 받아 납치범의 집을 찾게 되고, 이제 납치범이 집을 비운 시간 안에 여자친구를 구해 탈출하자!!	4	120
19	신데렐라	6	 혼자 남은 신데렐라에게는 무도회에 타고 갈 마차도, 신을 예쁜 구두도 없다. 무도회까지 남은 시간은 단 1시간! 시간 안에 탈출하여 왕자님의 마음을 사로잡아라!	2	120
20	어느 겨울밤	1	오늘도 어김없이 아랫동네 가게에서 허드렛일을 돕고 집으로 돌아가는 길에 멋진 장난감 가게 앞 에서 나도 모르게 발길이 멈춰진다.	4	120
21	엑스튜브	1	당신은 X튜브를 운영하는 BJ이다. 각종 음식과 제품을 거침없이 디스하는 컨텐츠로 인기가 치솟고있다. 하지만 어느 순간 이상한 환청이 들리기 시작한다. 방송을 진행할 것인가, 환청의 목소리를 따라 갈것인가.	1	90
22	초코의 왕	6	이제 유통기한이 하루밖에 남지 않았다. 최고의 초콜릿 `허쉬초코`를 탈환하고 이곳을 탈출해야 한다.	4	100
23	운명	3	두근거려 미치겠어, 바보같이 가만히 있으면 떠날지도 몰라... 사랑과 도석이의 따뜻하고 설레는 사랑이야기	6	80
24	원혼의 저주	2	12년 전 문을 닫은 폐병원. 그 곳에 들어간 사람들중 누구도 살아서 나오지 못했다는 흉흉한 소문에 궁금증이 생긴 당신. 인적이 끊긴 병원에 찾아가보기로 하는데... 	4	100
25	위험한 레시피	4	까다로운 미식가로 전국의 유명한 맛집을 순방하는 당신은 이곳 식당의 비밀이 궁금하여 견딜수 없게되고 미침내 맛의 비밀을 파헤쳐보려한다. 과연 이곳 레시피의 비밀은 무엇일까?	2	110
26	이층 복도 끝 화장실	3	기억을 잃은 채, 잠에서 깨어난다. 내가 간신히 나 스스로 기억해낼 수 있는 것은. 고작 내 이름 뿐. 몸을 일으키자 탁자에 붙어있는 쪽지 하나와 편지 한 통이 눈에 들어온다.	4	120
27	장미맨숀	5	10년째 사법시험 준비중인 장덕구씨가 실종됐다. 그의 어머니가 아들을 찾아달라며 찾아오는데…	1	120
28	비밀의 무덤	4	여기서 빠져나가는 유일한 방법은 루실의 유골단지를 찾아서 탈출구의 비밀 번호를 알아내는 것 뿐입니다. 60분 후에도 당신이 여기 남아있다면 브렌트가 돌아오게 될 것입니다.	2	110
29	지하감옥	3	지하감옥을 거쳐 간 사람들이 남긴 흔적과 단서. 의문은 더해져만 가는데... 1시간 이내에 이 곳을 나가지 않으면 나도 저들처럼 되고 말거야!	6	110
30	카니발 랜드 	4	가드 탐사대는 식인종이 살고 있는 카니발 랜드를 탐험 중 이상 기후 현상에 의해 헬기가 추락하고 만다. 카니발 랜드 한 가운데 불시착한 가드 탐사대가 살기 위해서는 이 섬을 탈출해야 한다.	5	120
31	타인은 지옥이다	3	인간은 사실 공존할수 없는 동물일수도 있어, 서로 필요때문에 어쩔수없이 사는거야. 여기다 쓰는말인지 모르겠는데 ‘타인은 지옥이다’라는 말이 있잖아요..?	6	90
32	트러브메이커	6	주말도 어김없이 업무전화로 나의 휴식을 뺏어가는 상사들 이제는 더이상 참을수가 없다. 나의 황금같은 주말을 보장해달라!!	1	80
33	호구와트	6	여느때와 같이 출근을 하기위해 런던 지하철역에서 지하철을 기다리던 중 평소 보지못했던 이상한 숫자의 지하철 플랫폼을 보게되었고 무언가에 이끌리듯 그 곳으로간 나는 의문의 편지 한 장을 받게되었다..?	4	120
34	히로인	3	현실을 받아들이지 못한 채, 이상한 행동들을 하는 한 남자. 도대체 그에게는 어떤 일이 있었던 걸까?	2	80
35	제시의 시크릿	7	시간이 지날수록 베일의 쌓여진 그녀의 취미생활. 해외 출장중인 그녀를 대신해 그녀의 집에 심부름 가게 된 나. 우연히 알게 된 그녀의 취미생활은...!	1	100
36	에로스의 초대	7	아름다운 사랑을 하고 있는 당신. 그런 당신 앞에 에로스라는 믿지 못할 존재가 눈앞에 나타나게 된다. 그리고는 당신과 연인의 사랑을 시험하겠다며 그대들을 그리스 신들이 살고 있는 신전에 보냈다.!!	1	100
37	올림푸스의 초대	7	신들이 만든 사랑의 시험에 통과하지 못하면 당신의 사랑은 강제로 끝나게 된다. 1시간 안에 신들의 조금은 야릇한 시험을 통화 해 사랑을 지켜내고 신전에서 탈출해야한다.	1	110
38	백설공주의 비밀	7	어느날 부터 백설공주는 밤마다 성을 몰래 나가기 시작했는데….. 이유가 궁금했던 왕자의 명령에 따라 백설공주를 찾아 가보게 된다...	3	100
39	러브클리닉	7	여러분이 적극적으로 동참하고 노력한다면 한 시간 안에 원하시는 것을 말끔히 해결해 보일게요. 여러분. 여기는 러브클리닉입니다.	6	80
40	아나스타샤	7	너무나도 순진하고 여린 그 남자의 알 수 없는 매력에 점점 그녀의 마음은 그에게 빠져들고 드디어 오늘, 그를 내 것으로 만들 시간이 왔다. 모든 계획은 완벽하다. 그는 오늘 내것이 된다.	1	90
41	카마수트라	7	자극적인 한문장과 주소 한줄, 본능에 이끌려 도착한 장소. 이곳에서 카마수트라의 마지막 비밀을 찾으려 하는데.	1	60
42	폐쇄병동	3	공사일 하는 나에게 그 병원을 철거해 달라는 거액의 제안이 들어온다.. 하지만 아무도 일을 하려 하지 않아 철거를 위해 단독으로 일주일 전 병원 사전답사를 위해 병원으로 들어가는데..	3	120
43	그녀를 찾아서	2	 결혼 준비 중 돌연 약혼자인 수연이 사라진다. 여자와는 인연이 없다 생각한 강훈은 하느님만을 위해 살기를 결심하고 신부(사제)가 된다. 2년뒤 폐병원인에서 이수연이 이곳에 있다며 편지가 계속 오는데…	2	120
44	타워링	3	 당신의 인생이 타워와 함께 불타버리기전 주어진 시간은 단 60분! 스산한 느낌이 감도는 이 엘리베이터 안에서 작동암호를 풀고 무사히 탈출해야한다.	6	100
45	파라오의 심판 	4	람세스 3세의 보물을 훔치고 저주를 피해 무사히 탈출한 나 더 많은 파라오 보물의 비밀을 알기 위해 이집트 국립 도서관으로 향하게 되는데... 	6	120
46	이터널 산샤인	3	그녀가 기억을 지워주는 병원 라쿠나에서 당신에 대한 기억을 모두 지웠다는 것. 당신은 그녀에 대한 충격과 원망스러움에 그녀의 기억을 지우려 한다.	1	70
47	안개꽃	3	처음 보는 전시관이었지만 어디선가 그의 향기가 흘러나오는 듯 했고, 그 추억 속의 향기에 이끌려 전시회장 안으로 들어서게 되었다.	6	70
48	소원을 말해봐	2	고통스러운 순간..당신의 간절한 소원. 그것이 이루어질까요?	6	90
